,action,"FULL-TIME! Atletico Madrid drop two points on the road, with Athletic Club managing to hold Simeone's side to a 2-2 draw. Goals from Lekue and Williams overtturned an opening strike from Koke, before a wonder goal from Griezmann tied things up late on. The away team's good form comes to an end, with Los Leones continuing to scrape results. That's all that we have time for, we hope to see you again next time."
90'+3',yellow-card,Yellow Card José María Giménez de Vargas. Gimenez picks up a late booking.
90'+2',action,"Saul manages to shoot on the half-volley on the edge of the penalty area, but the Spain international's shot is placed too close to Iraizoz. Athletic Club are happy to slow the play down and keep the bulk of their players behind the ball at this point."
90',action,There are three minutes of stoppage time.
89',substitution,"Substitution sub-out Ander Iturraspe Derteano sub-in Mikel Rico Moreno . Mikel Rico is introduced for the last few minutes, with Iturraspe taking his leave."
87',action,"Correa tries to shoot from a tight angle on the right-hand side, but the ball is deflected behind for a corner. The referee has to halt play for some pushing between Saul and Raul Garcia, before a second delivery from Koke is blocked by Garcia."
85',action,"Only five minutes remain for the away side to turn this one around, with Athletic Club still edging forward. Lekue and Villalibre combine on the edge of the penalty area, but Correa tracks right the way back to defuse the situation."
83',substitution,"Substitution sub-out Iker Muniain Goñi sub-in Markel Susaeta Laskurain . Susaeta is introduced for the home side, with Muniain replaced after a bright performance."
83',substitution,"Substitution sub-out Iñaki Williams Arthuer sub-in Asier Villalibre Molina . Williams takes his leave after a quiet second half, with Villalibre given a chance to make himself a hero."
82',action,"Iturraspe delivers a free-kick from the right-hand side, but Filipe Luis manages to get the ball away from the awaiting presence of Raul Garcia. This game is set up in exciting fashion. Gaitan races down the left, but an awful cross from the Argentine winger is gobbled up by Iraizoz."
80',assist,"Assist Fernando José Torres Sanz. Torres lays off a simple pass to his striker partner, and Griezmann does the rest!"
80',goal,"Goal Antoine Griezmann. GOOOOOOOOAL! GREAT GOAL FROM GRIEZMANN! Atletico are level! The former Real Sociedad man is allowed to jink onto his left foot from range, and drills an unstoppable effort into the bottom-left corner. Iraizoz couldn't get done quick enough. What an unbelievable effort!"
80',goal,Goal Antoine Griezmann. Goal Antoine Griezmann
78',action,"Filipe Luis drives to the left byline, but a poor cross from the Brazil international is cleared out for a throw-in on the near side. Athletic Club are defending their penalty area well, with Griezmann and Torres not having any pockets of space to exploit. An equaliser isn't looking particularly likely."
76',action,"Wide from Correa! The substitute is afforded some space on the edge of the penalty area, but can only drill the ball shy of the right-hand post. Atletico are getting closer, but this contest is still incredibly open. Athletic Club definitely have the measure of the away side."
75',action,"Griezmann bursts into the clear and clips home a beautiful finish, but can only look over to the sideline to see the linesman's flag raised for offside. Athletic Club respond with an attack of their own, with Lekue invited down the left. He picks out Raul Garcia at the back post, who knocks the ball down, but Atletico clear."
73',action,"Muniain wriggles his way through a few opponents in the middle of midfield, bursting his way into a shooting position. He unleashes a low drive, which Moya has to get down well to smother, and the home fans sound their appreciation. He is looking in great shape. Lekue crosses from the left, moments later, but Gimenez clears."
71',action,"Muniain lifts a cross in from the left byline, but his cross sails over the danger area and wide of the target. Only 20 minutes are left for Atletico to try and build a comeback, but Torres' introduction is yet to have any discernible effect on proceedings."
69',action,"Muniain tries to scamper forward, with Balenziaga combining with Lekue down the left-hand side. Correa tracks back, but Gimenez comes across in uncompromising fashion to take back possession and clear. Athletic Club are still breaking forward when they can."
67',action,"There is a brief stoppage in play, as Iturraspe goes down with a head injury - he has been in the wars today. Atletico are now the team needing to take the game by the scruff of the neck and push forward, but Valverde's men are content to sit back and absorb plenty of pressure."
65',substitution,"Substitution sub-out Kevin Gameiro sub-in Ángel Martín Correa . Gameiro takes his leave after a quiet outing, with Correa coming into the game for the last 25 minutes or so."
65',substitution,"Substitution sub-out Yannick Ferreira Carrasco sub-in Osvaldo Nicolás Fabián Gaitán . Carrasco is replaced by Gaitain out on the left-hand side, as Atletico look for an equaliser."
64',yellow-card,"Yellow Card Yannick Ferreira Carrasco. Carrasco has a free-kick effort from just outside the Athletic Club penalty box, but the Belgium international dips a powerful attempt just shy of the left-hand post. He then receives a yellow card for arguing with the referee over the wall having clearly deflected his shot wide."
63',yellow-card,"Yellow Card Ander Iturraspe Derteano. Iturraspe gets a booked, while limping off the field of play, but the Spaniard have been helped off under his own steam. There is definitely some kind of problem with his knee."
62',action,"Iturraspe slides in to stop Saul on the edge of the penalty area, fouling the Atletico midfielder, but the hosts' midfielder appears to have come off much worse. His knee appeared to buckle, and his body language looks like that of a man who knows he is injured yet again."
60',action,"Filipe Luis wins a corner on the left-hand side for Simeone's men, with Koke bending it in. Raul Garcia rises well at the near post, however, to nod clear against his former club - before conceding another corner. This time, Iraizoz is able to claim the ball confidently."
