,action,"As for Lazio, they impressed in the first half and were arguably the better of the two sides, but they failed to deal with Roma after the break and looked increasingly bereft of ideas in front of goal. Immobile struggled to deal with the three centre-backs diligently watching him, whilst both Anderson and Keita failed to offer enough service out wide."
,action,"The referee blows his whistle for the final time and the Roma players and fans immediately erupt with joy. They played brilliantly this afternoon and certainly deserve to leave with three hard-earned points that, once again, send them above Milan and keep them just four points behind leaders Juventus ahead of next weekend's big game against the Rossoneri."
,action,FULL-TIME: LAZIO 0-2 ROMA
90'+5',action,"Lazio are trying their hardest to carve out a late hcnace on goal, but Roma have plenty of players back to deal with the danger. The Giallorossi have defended wonderfully well this afternoon and are set to move back up to second place in the league table."
90'+4',yellow-card,"Yellow Card Cristiano Lombardi. Lombardi clashes with De Rossi after being dispossessed by the Roma midfielder in the centre of the pitch, and he becomes the latest player to receive a yellow card for a hefty challenge."
90'+3',substitution,Substitution sub-out Bruno da Silva Peres sub-in Juan Guilherme Nunes Jesus . Peres takes his time making his way off the pitch to be replaced by Jesus in a late substitution for Roma.
90'+2',action,"Lazio push forward down the left flank and win themselves a corner. It's sent short to Patric, who then shoots from just outside of the penalty area, but the Spaniard's strike is poor and fails to find a way through to the Roma goal."
90',action,The fourth official has indicated that there will be four minutes of added time.
89',action,"It's all Roma at the moment as they do well to hold on to possession deep inside the Lazio half of the pitch. They're moving the ball around nicely and are causing plenty of problems for Inzaghi's men, who haven't been anywhere near good enough during the second half."
88',action,"Almost a chance for Milinkovic-Savic! Anderson breaks down the right flank and sends a lovely through-ball into the path of Lombardi, who then cuts a pass back to Milinkovic-Savic in the middle of the penalty area, but just as he does, the linesman's flag is eventually raised for offside."
86',action,"Anderson battles his way down the right flank before being fouled by Nainggolan, resulting in a free-kick for Lazio in a very dangerous position. Kishna steps up and fires a low cross into the penalty area, but it's poorly hit and easily dealt with by Roma."
85',substitution,"Substitution sub-out Balde Diao Keita sub-in Ricardo Kishna . Lazio have made their final alteration, with Keita making way for Kishna."
84',yellow-card,"Yellow Card Bruno da Silva Peres. Keita picks up the ball midway inside the Roma half of the pitch and is immediately clattered into by De Rossi, resulting in a free-kick for Lazio. Peres then blasts the ball away in frustration, and he becomes the latest player to receive a yellow card as a result."
83',action,"Lazio keep pushing forward as they desperately try to find a goal that would completely change the game, but they're unable to carve out a chance after a poor cross from Anderson fails to find Lombardi and sails harmlessly out of play."
