,action,"FULL-TIME! Real Madrid maintain their lead at the top of LaLiga for another week, courtesy of a 3-0 win over Alaves. Benzema opened the scoring, before late strikes from Isco and Nacho made things look much more comfortable than they actually were for Los Blancos. Zidane will be pleased to get three points, but that wasn't a convincing performance at all. That's all that we have time for, we hope to see you again next time."
90'+2',action,"Close from Ely! The Alaves centre-back is picked out by a free-kick delivery from deep, but the Brazilian can only guide a header inches shy of the post. That will have given Casilla a scare."
90'+1',action,There are three minutes of stoppage time at Estadio Santiago Bernabeu.
90',action,"Suddenly, Real Madrid are looking in control and are searching for a fourth goal. Somehow, Alaves have gone from chasing an equaliser to trying not to lose by an embarrassing scoreline. Once again, Zidane's men stand up to be counted when it matters most."
88',goal,"Goal José Ignacio Fernández Iglesias. GOOOOOOOOOAL! NACHO MAKES IT 3-0! Bale thunders a free-kick onto the underside of the crossbar, with Pacheco unable to react to the dip and swerve of the ball. The Real Madrid defender is first to react and nods home a close-range poacher's effort."
87',yellow-card,"Yellow Card Manuel Alejandro García Sánchez. Manu Garcia gets a yellow card for clipping the heels of Carvajal on the edge of the penalty area. The Alaves midfielder is fuming, claiming that it was accidental."
85',assist,Assist Cristiano Ronaldo dos Santos Aveiro. Ronaldo slides a neat pass into the penalty area and Isco finishes it off.
85',goal,"Goal Francisco Román Alarcón Suárez. GOOOOOOOOOAL! ISCO MAKES IT 2-0! Kovacic lets fly from about 25 yards out, but the Croatia international's shot is easily caught by Pacheco. Theo bursts down the left and cuts inside, but Isco dispossesses him and the hosts break. He ends up finishing the move he started, as he scampers into the penalty area and thumps home a wonderful finish."
84',action,"Into the side netting! Bale is picked out at the back post by a clipped cross, but the Wales international can only slide in to stab a finish just shy of the upright. That is potentially the best chance that Real Madrid have created since the restart."
83',substitution,"Substitution sub-out Víctor Camarasa Ferrando sub-in Christian Robert Santos Kwasniewski . Christian Santos comes into the fray for Camarasa, as Pellegrino brings on another striker and rolls the dice."
83',action,"Pepe covers across to lash a loose ball away from Deyverson, with Real Madrid needing to defend from a lot of direct passes. Toquero digs out a cross from the right, but Casilla makes a brilliant catch. The visitors are continuing to press very high upfield indeed, but it is leaving gaps at the back."
