,action,"FULL-TIME! Malaga dominated long portions of the game at La Rosaleda, but their efforts are eventually in vain as Atletico win 2-0. Goals from Koke and Filipe Luis turned the match for the visitors, who stay on course to try and overtake Sevilla in third place in LaLiga. The hosts, meanwhile, are still winless under Michel. That's all that we have time for, we hope to see you again next time."
90'+1',action,There are three minutes of stoppage time.
90',action,"Rosales tries to whip in a cross from the right-hand side, but Gabi makes a block. Correa is picked out on the break for Atletico, but the Argentina international can only force Kameni into a good near-post save."
88',substitution,"Substitution sub-out Filipe Luis Kasmirski sub-in José María Giménez de Vargas . Gimenez is introduced for Filipe Luis, which should see Lucas move to left-back and the Uruguay international slot into the middle of midfield for the dying stages."
86',action,"Less than five minutes are remaining for Atletico to see out, with Lucas now sat just in front of the back four. Oblak makes a simple save, after Rosales brings a loose ball down in the box and swivels sharply. The Venezuelan really should have done better with that!"
84',substitution,"Substitution sub-out Antoine Griezmann sub-in Diego Roberto Godín Leal . Santos is picked out by a near-post corner delivery, but the substitute can only nod clear of the target. Atletico use the break in play to make a change, with Griezmann replaced by Godin. Lucas steps up."
82',action,"We're into the final 10 minutes at La Rosaleda, and it looks like another routine three points for Atletico. Simeone will be glad that despite missing a few key players, Los Colchoneros have battled to a much-needed win. Sandro races clear on the break and releases Santos on the right, but the substitute can only force Oblak into a diving stop."
80',action,"Malaga win themselves a free-kick on the right flank, which Sandro pings into the back post, but the away side hack clear for a corner. The resulting set-piece from the right-hand side comes to nothing. The hosts have had opportunities but haven't made the most of them."
78',action,"Sandro is picked out on the edge of the penalty box, before swivelling and firing a volley goalwards. Oblak makes a simple catch. That was a lovely effort, and for a minute it looked to be escaping from the Slovenian shot-stopper."
76',yellow-card,"Yellow Card José Luis García del Pozo. Recio leaves his mark in a poor tackle, which has the Atletico players arguing for a red. He gets yellow."
76',yellow-card,Yellow Card Juan Carlos Pérez López. Juankar gets a yellow card for a poor challenge.
76',action,"Less than 15 minutes remain for Malaga to stage a comeback, and it looks beyond the home side now. All of the possession and pressure has come to absolutely nothing for the hosts. That goal from Filipe Luis has killed the mood at La Rosaleda."
74',assist,Assist Fernando José Torres Sanz. Torres manages to feed a low pass into Filipe Luis' path.
74',goal,"Goal Filipe Luis Kasmirski. GOOOOOOOAL! FILIPE LUIS MAKES IT 2-0! Atletico almost manages to rob Ricca of the ball on the edge of the box, but Griezmann can't make the most of it. Filipe Luis, Torres and the Frenchman combine inside the area moments later, with the Brazilian managing to dink home a lovely finish from a tight angle. Kameni didn't have a chance."
72',substitution,"Substitution sub-out Sergio Gontán Gallardo sub-in Michael Nicolás Santos Rosadilla . Keko takes his leave, with Michael Santos introduced up top."
72',action,"Malaga are recycling the ball and pushing desperately for an opening. Sandro tries to spray a pass out to Rosales on the overlap on the right-hand side, but the ball fizzes out of play. Michel's men are falling short at the final hurdle."
70',action,"Torres and Griezmann aren't pressing too intensely, but it looks as though Atletico might need a second goal to kill this game off as a contest. Sandro is working hard up top to try and orchestrate a comeback, but a cross from the left-hand side is deflected behind."
68',action,"Malaga win themselves a corner on the left-hand side, with Simeone beginning to lose his patience a little with how far Atletico are on the back foot. The delivery is swung in, but sails wide of the back post. Lucas and Savic have been comfortable, but one goal from the hosts could swing the momentum massively here."
66',action,"Fornals plays a ball down the line for Ricca to chase, but the substitute can't quite get there. The hosts try to threaten down the same flank moments later, but an early cross is flicked to safety with ease by Savic."
