,action,"FULL-TIME! Barcelona maintain their pace in the title race with a 4-1 win over Granada, courtesy of goals from Suarez, Alcacer, Neymar and an own goal from Saunier. Boga made things interesting with an equaliser, but the away side since pulled away - with a red card for Agbo making things easier. That's all that we have time for, we hope to see you again next time."
90'+1',assist,"Assist Francisco Alcácer García ; Alcacer picks out a great cross to the back post, making life easy for his teammate to turn home."
90'+1',goal,Goal Neymar da Silva Santos Junior ; GOOOOOOOAL! NEYMAR MAKES IT FOUR! That's his 100th goal for the club! The Brazilian strokes home a back-post finish after having the ball put on a plate for him by Alcacer.
90'+1',action,There are two minutes of stoppage time.
89',action,"Barcelona win a corner on the left, with a near-post delivery from the flank finding Alcacer. The Spaniard tries to take a first-time effort and swivel to strike a volley goalwards, but he gets it all wrong. Granada go down the other end, but Boga shoots straight at Ter Stegen."
87',substitution,"; Alena comes into the fray for the last few minutes, with Rakitic taking his leave."
85',action,"Less than five minutes remain for Granada to make the most unlikely of comebacks, as Agbo getting sent off has derailed their chances entirely. The away side are driving forward at pace regularly, with Neymar managing to win possession in the opposition penalty area. He shoots, but his effort is blocked, with Suarez stabbing the rebound over the bar!"
83',goal,"Goal Ivan Rakitić ; GOOOOOOOOAL! RAKITIC MAKES IT 3-1! The Croatian midfielder tries his luck from the edge of the box and guides a finish into the far corner with the aid of a fortunate deflection. That wasn't going on target without the touch. Saunier own goal, that will be."
82',yellow-red,"Yellow/Red Uche Henry Agbo ; RED CARD FOR AGBO! The Granada midfielder gets his marching orders for a second booking, only four minutes after getting a first for dissent. Alcaraz just smiles on the touchline, he feels hard done by."
81',action,"Neymar is being consistently fouled by the home side, with the Brazil international not being given the chance to break upfield at pace due to being cynically held, kicked or tugged back. He is growing frustrated. Less than 10 minutes remain for Granada to stage a comeback."
79',yellow-card,"Yellow Card Uche Henry Agbo ; Agbo gets a yellow card for the home side, for arguing with the referee after a soft decision that was given against his teammate Foulquier."
78',substitution,"; Gaston Silva jogs off, with Cuenca coming on against his former club."
77',yellow-card,"Yellow Card Ivan Rakitić ; Alcacer tries to angle a cross in from the right-hand side, with Neymar waiting at the back post, but the ex-Valencia man's delivery is charged down. Rakitic is then booked for angrily arguing with Pereira."
75',action,"Wakaso drives upfield powerfully, with Granada still trying to generate some offensive momentum wherever possible. Litri is invited down the left, but his cross comes to nothing, with Barcelona starting to be able to exploit the gaps on the break a little now."
73',action,"Iniesta tries to feed a pass in behind Foulquier for Neymar to chase, but the French defender steps up well to intercept. Barcelona's approach is very predictable, but when they offer such quality in certain areas, it is tough to prevent. Granada are desperately trying to commit players forward on the break, with Pereira driving upfield - but he is tackled on entering the box."
71',action,"Barcelona are dominating the ball and waiting for the opportunities to arise to find the likes of Alba and Sergi Roberto overlapping in the wide areas. The away side win a corner on the left, with an inswinging delivery from Neymar flicked behind for a second. This time, the Brazilian's cross is guided just shy of the near post by Mathieu's boot."
69',action,"Neymar jogs down the left-hand side and feeds a pass into Iniesta, but the substitute's first touch is terrible and he strokes the ball straight out of play. There is a lot of frustration on the sideline from Granada, with some of Alcaraz's assistants being told to quieten down."
67',substitution,"; Andre Gomes takes his leave for the away side, with Iniesta injected into the midfield third for Barcelona."
66',action,"Close for Rakitic! Ochoa is almost caught off his line by a dipping shot from the Croatia international, but a strong enough hand from the Granada goalkeeper tips the ball over the bar for a corner. The set-piece delivery is whipped in towards the near post, but Adrian Ramos meets it as the first man."
64',assist,"Assist Luis Alberto Suárez Díaz ; Suarez receives the ball to feet, flicks it up and then hooks a great pass over the top for Alcacer to latch onto."
64',goal,"Goal Francisco Alcácer García ; GOOOOOOOOOAL! ALCACER MAKES IT 2-1! The former Valencia man has struck at an important time! The Spaniard is fed into the penalty area by a good ball that was lifted over the top, before stroking home a cool finish. Barcelona lead once again!"
62',action,"The away side are starting to lose their cool slightly, with Granada starting to get a few refereeing decisions turning in their favour. Neymar finds Busquets in space on the edge of the area, who tries to lift a ball over the top to find Sergi Roberto overlapping, but the Spain international's pass is far too heavy."
