,action,"And that will do it! Llorente gets his second goal with one of the last kicks, or headers, of the game to give Swansea a deserved three points. Poor Burnley could not hold on until the end, but given the way that they were dominated throughout, and the poorly awarded penalty that led to their first goal, they can have few complaints. That's all from us, thanks for tuning in!"
90'+5',substitution,"; Carroll made that goal for Llorente, just as he did against Liverpool at Anfield. He's off now, with Jordi Amat coming on."
90'+4',action,"Ayew looks to settle it with one of the last kicks of the game, but it's saved by Robinson! Is there time for Burnley to get a late one here?"
90'+2',assist,Assist Tom Carroll ; Tremendous assist!
90'+2',goal,"Goal Fernando Llorente Torres ; SENSATIONAL FINISH! SWANSEA HAVE DONE IT! Carroll, for the umpteenth time, sends in a five-star cross that sees Llorente climbing all over Mee to thump a header into the back of the net for the win!"
90',action,"OFF THE LINE! Burnley don't deal with a corner, and it falls to Ayew on the edge of the area. Robinson saves with his legs, but he can only watch as Carroll's follow up is bundled around the post by Mee!"
89',substitution,"; Angel Rangel gets a late run out for Naughton, who needed to leave the game due to a knock to his hamstring."
87',action,"The home fans are on the edge of their seats, but Swansea are starting to labour a bit in their attempts to get the ball forward for a last flurry. This will feel like two points lost if it stays this way - particularly considering the penalty decision."
85',yellow-card,"Yellow Card Jack Cork ; Cork goes in late on Boyd, and is shown a yellow card."
85',action,"Four goals split between these two sides. Five minutes remaining. Is there time for a winner? This will be a great point for Burnley, who have not picked up many on their travels this season."
82',action,"OVER THE TOP OF THE BAR! From the resulting corner, it's cleared by Keane to the edge of the box, where Olsson swings his boot at it, sending a volley almost onto the roof of the net."
81',action,"Swansea come forward as Carroll plays a wonderful reverse ball into the path of Ayew, who beats one man and then two, but only wins a corner when he tries to evade the third."
80',substitution,; Ashley Westwood replaces Barton.
80',substitution,; James Tarkowski is on for Vokes.
79',action,"Sigurdsson pings in a dangerous cross almost onto the penalty spot that forces Mee into an unorthodox clearance on the swing. It arcs up to the far post, where Robinson has to punch clear."
77',action,"Another dreamy ball from the excellent Carroll finds Llorente at the far post, but the big striker mistimed his jump by a split second, which didn't get him on eye level with the ball, leading to a header that looped over."
75',action,"Good defending from Mee prevents a cross from Ayew from coming into the area, and from the resulting corner, Cork and Fernandez both have snap-shots blocked by the defence."
73',substitution,"; Jordan Ayew comes off the bench for the third time since arriving from Aston Villa, and he replaces another January signing in Narsingh."
71',action,"A huge cheer of relief went up from the stands after that goal, and now this game is truly up for grabs. You would fancy Swansea to score next, but we've been thinking that for over 70 minutes now and Burnley still have managed to surprise us twice."
69',assist,"Assist Gylfi Þór Sigurðsson ; He hasn't had his shooting boots on today, but he's still been decisive in the final third."
69',goal,"Goal Martin Olsson ; SWANSEA ARE LEVEL! Sigurdsson releases Olsson with a splendid heel flick, and the full-back keeps Boyd at arm's length before lashing the ball high into the back of the net! Wonderful!"
68',action,"I've got to hand it to Ward. The left-back looked to be fighting a losing battle on a yellow card against Narsingh, but he's kept his head to nullify the threat of the Swansea wide man in the second period."
66',substitution,; First substitution of the game for either side as Scott Arfield enters the fray for Brady.
66',action,"Mee covers a lot of ground striding forward with the ball out of defence, but then ruins his advance with a baffling pass right out of play."
64',action,"Olsson does well on the ball, driving down the left but then surprising the defence by cutting inside, before laying it off to Fer to strike from the edge of the D. The fans groan as that one flies wide."
61',assist,Assist Sam Vokes ; Superb target-man play!
61',goal,"Goal Andre Gray ; BURNLEY ARE AHEAD! Out of nowhere, the Clarets storm in front thanks to the boot of Gray. Vokes brought down a high ball well and flicked it into the path of his strike partner, who took it beautifully in stride to unleash a low finish."
60',action,"OFF TARGET AGAIN! Another excellent cross from the home side as Carroll delivers the ball on a plate for Sigurdsson, who surprisingly fails to execute on the volley, slicing it wide of the mark."
57',yellow-card,"Yellow Card Leroy Fer ; Barton and Fer go in for a 50-50 ball on the edge of the box, and the former scrambles it away just before he's clattered into by the latter. The challenge looked a lot worse than it actually was, which convinced the referee that it was worthy of a yellow card."
56',action,"It would be a surprise to see this match end in a draw, with Swansea splitting points in only three Premier League games this season, a division-low total. Burnley have registered just one more draw than that."
54',yellow-card,"Yellow Card Ben Mee ; Mee has been a busy man in the second half, and he quite literally throws himself into the thick of things, flattening Fer with a sliding challenge. The referee didn't like that and books him."
52',action,"WIDE OF THE MARK! What do Swansea have to do to score again? Olsson puts in another peach of a cross that is glanced towards the far corner by Llorente ahead of Mee. However, it bounces the wrong side of the post."
50',action,"SWANSEA NEARLY TAKE THE LEAD! Sigurdsson tested Robinson with the last play of the first half and now, he's beaten the keeper, only for Mee to track back and scramble the ball off the line!"
