,action,"Second-half goals from Eric Dier and Heung-Min Son help Spurs to a crucial three points, as Burnley lose their first league match at Turf Moor since November. That's all for our live coverage, thanks for following along. Goodbye!"
90'+4',action,FULL-TIME: BURNLEY 0-2 TOTTENHAM.
90'+2',action,"Full marks to Spurs this afternoon. They didn't have it easy by any means, but they showed good patience to persevere and find a way to get the job done at a venue where very few teams leave with three points."
90',action,There will be four minutes added on at the end of this match.
89',action,"There should be a decent amount of time added on at the end of the 90, but it looks like too tall of an order for Burnley to salvage anything. They have a free-kick and Brady's delivery is dangerous, but Lloris deals with it really well under pressure from Vokes."
87',action,"STAT: Dele Alli has been involved in 11 goals in 11 Premier League appearances for Tottenham in 2017 so far - eight goals, three assists (including today)."
85',action,"Another mistake from Burnley in midfield allows Spurs to break through Son. The substitute returns the favour, picking out Alli in the area, but the midfielder drags his shot wide of the far post! He should have a couple of goals today, with even some half-decent finishing."
83',action,"The tempo is fizzling out as Burnley accept their fate. Spurs are taking a more relaxed approach in possession, keeping it far away from the danger area, while Burnley aren't pressing with nearly as much intensity."
81',action,"CLOSE TO A THIRD! Burnley's focus has gone now and Spurs are threatening to add to their lead. Alli carves out space for himself and bends an effort towards the far post, narrowly missing the top corner."
79',yellow-card,Yellow Card Ashley Barnes ; Barnes becomes just the second player booked on the night.
78',substitution,"; Steven Defour makes his return to action for Burnley after two months out, replacing Arfield."
77',assist,"Assist Bamidele Alli ; Alli provides the assist, showing some excellent vision there."
77',goal,"Goal Heung-Min Son ; IMMEDIATE IMPACT! Eriksen does brilliantly to win the ball in midfield and send Alli forward with an exquisite ball over the top. Alli keeps his head up and threads a pass across the box for Son, who taps home into an empty net from six yards."
76',action,"The chances are starting to come for Burnley, but they're snatching at them right now. Keane and Arfield both have shooting chances, each failing to hit the target, before Spurs break the other way to try and capitalise on the space being left in the Burnley defence."
74',substitution,; A second change here for Burnley as they bring on record signing Robbie Brady at the expense of Boyd.
73',substitution,; Heung-Min Son is on to replace Janssen.
72',action,"Arfield hits a really poor corner that doesn't get by the first defender at the near post. Burnley can't afford to waste these opportunities. Meanwhile, Janssen has gone down with what looks like a cramp, as both teams appear prepared to make changes."
70',action,"With Chelsea still trailing 2-1 against Palace, that Dier goal could prove to have massive ramifications in the title race- which wasn't much of a race at all coming into the weekend. Still 20 minutes remaining in both matches, so nothing is set it stone just yet by any means."
68',action,"STAT: Burnley have won just one of their five previous Premier League games against Tottenham (W1 D1 L3), back in May 2010 when Brian Laws’ already-relegated side won 4-2."
