,action,"FULL-TIME! Southampton grind out a 1-0 win over Boro at St. Mary's, courtesy of a bit of magic from Boufal. Boro were combative and kept chances to a minimum, with both goalkeepers having little to do throughout the 90 minutes, but the Saints just about come out on top. That's all that we have time for, we hope to see you again next time."
90'+2',action,"Over the crossbar from Rodriguez! What a miss! Redmond breaks down the left-hand side and gets to the byline, before drilling a low cross into the six-yard box. The ex-Burnley striker slides in but can't make telling contact, sending the ball whistling over the target from about three yards out."
90',action,There are three minutes of stoppage time.
89',action,"Fonte lifts a great pass in behind for Long to chase, which the Irishman gets out. He drives to the right byline and clips a cross in towards the back post, but Rodriguez can't manage to turn it goalwards! Boro respond with their own attack, but Redmond robs Adama Traore of possession easily."
87',action,"Southampton win themselves a corner on the right-hand side of the attack, with Ward-Prowse able to bend in a cross from out wide. He puts in a poor delivery, and then follows it up by getting hold of the rebound and firing that over the crossbar too. He has had a bit of an off-day!"
85',substitution,"; Clasie is replaced for the late stages for Southampton, with Long coming into the game. Boro will need to be very wary of his pace on the counter-attack. Meanwhile, on the pitch, Fabio gives away a throw-in after failing to take it from where the referee told him to stand."
83',action,"OFF THE LINE! Southampton win themselves a corner, which shouldn't have been given their way at all. Rodriguez gets up well and powers Ward-Prowse's delivery goalwards, but Clayton stoops to head a good clearance away from the danger zone. That man on the near post does his job well!"
81',substitution,"; Stuani is replaced by Adama Traore for the late stages, as Karanka uses his wildcard from the bench."
80',yellow-card,"Yellow Card Adam Clayton ; Clayton gets a booking for diving into a cynical tackle on Clasie, after losing possession in the midfield third."
79',action,"Forshaw drives forward and beats a couple of players, before combining with Fabio. Fischer is then fed possession, and play is whipped out to the right-hand side, but Clayton gifts the ball away to Clasie in a dangerous area. They can't seem to break Southampton's lines."
77',action,"Southampton are happy to slow things down with a slow spell of possession, before Ward-Prowse gets released down the right. The English midfielder tries to whip in a cross, but Chambers clears. This game has seen a lot of percentage football played from the wide areas."
75',action,"Over from Davis! Martina bends in a good cross from the right-hand side, but the full-back's delivery is headed above the crossbar by the Southampton substitute. His introduction has inspired a slight change of shape for the Saints, who are keen to earn themselves a much-needed three points today."
74',action,"Redmond tries to beat Gibson down the right-hand side, but the English defender puts in a good block to deny a cross from the former Norwich winger. Boro are committing players forward to try and find an equaliser, but it is leaving their central defenders a bit more exposed a at the back as a result."
73',substitution,"; Boufal is replaced by the more industrious option of Davis, as Puel tries to see out a good result."
72',action,"Martina scampers down the line, but then gives away possession to De Roon. Boro play their way out of trouble, with Fischer and Fabio combining down the left, before a long-range strike from Stuani is blocked by Van Dijk. The rebound falls to Barragan, who tries to fire in a powerful cross from the right byline, but the ex-Valencia man can only find Forster's gloves."
70',action,"Forshaw curls a lofted delivery into the box, but Fabio is beaten to a header, with Boro's points of attack still not getting any joy. Fonte lifts a pass down the right-hand side to Martina, who picks out Boufal at the back post, but the goalscorer is penalised for grabbing hold of Stuani. There wasn't much in that, really."
68',action,"Rodriguez almost manages to pinch the ball from Valdes' feet, but the Spaniard keeps his cool to slot a pass out to Fabio. That was a nervy moment for Boro! The visitors respond by trying to mount an offensive, but Rhodes is fouled by Fonte, before a curling cross from Barragan sees Martina deny Fischer a chance to shoot brilliantly."
66',action,"Barragan tries to whip in a cross from the right-hand side, but Van Dijk makes a block, before a curling delivery from Stuani evades everyone and fizzes beyond the back post. Rhodes and Fischer really should have gambled on that ball in, as it was angled perfectly for his teammates to attack without Forster being confident of coming out to claim."
64',action,"Van Dijk has got the measure of Rhodes, with the ex-Blackburn Rovers forward unable to win anything over the towering Dutchman. Boro are very much looking to get their striker into the game, but the absence of Negredo is proving damaging. The ex-Sevilla man would hold his own against a physical central defensive pairing."
62',action,"Fabio is found on the left-hand side, but can't deliver a cross, with Boro forced to open the ball out to the opposite flank instead. The away side have to remain patient, as they can't seem to find their way through Southampton's organised lines. Half an hour remains for Karanka to mastermind a comeback."
60',action,"Boro whip a free-kick in from the right-hand side, but Forster claims easily. Karanka's men are committing a few players forward in search of an equaliser, but Southampton are standing up to the rest so far. Moments later, Barragan bends in a delivery from out wide, but Van Dijk hooks clear."
58',yellow-card,"Yellow Card Oriol Romeu Vidal ; Rhodes is the target of a long ball in behind by Stuani, but Van Dijk has the pace to get there ahead of the ex-Blackburn striker. Boro maintain their pressure, before Romeu dives into a really poor tackle on Forshaw. That gets him a yellow card too."
57',action,"Boro try to get onto the front foot and ask a few questions of the hosts, but Fonte and Van Dijk have had the measure of Rhodes so far. Forshaw whips in a cross from the right-hand side, but Forster is off his line quickly to punch clear effectively. This contest is opening up a little, after a cagey first 45 minutes."
55',yellow-card,"Yellow Card José Miguel da Rocha Fonte ; Fonte picks up a yellow card for a late tackle on Stuani, slides through the ex-Espanyol man after the ball was long gone. There can be no complaints with that one."
55',action,"After a terrible first half, this game has already burst into life after the break. Boufal's magical strike has roused the St. Mary's crowd, and Boro now have no option but to try and get forward themselves in response. Martina tries to find Redmond at the back post, but the former Birmingham man loses out in the air."
53',assist,"Assist James Ward-Prowse ; Ward-Prowse slides a low pass into his team-mate, but it is Boufal that applies the classy finish!"
53',goal,"Goal Sofiane Boufal ; GOOOOOOOOAL! BOUFAL MAKES IT 1-0! The Moroccan nets his first Premier League goal, and that's quite an effort! He unleashes a left-footed effort from 25 yards out that swerves into the top-left corner, with Valdes left rooted to the spot. He got some real power behind that one!"
