,action,"Full-time in Monte Carlo. Monaco go three points clear at the top of the Ligue 1 table after a comfortable 3-0 victory over Nice, with a Valerie Germain opener and a double from Radamel Falcao in the second period sealing the win. Over to you, PSG! Thanks for joining us, see you next time."
90'+2',action,"Nice's poor day at the office is summed up by Eysseric, who fires a strike off the post from relatively close range in what is a superb chance."
90',substitution,"; Three minutes of added time have been allocated. Meanwhile, Falcao is replaced by Kylian Mbappe-Lottin."
88',substitution,"; Another change from Jardim now and it is Bernardo Silva who comes off to a fanfare from the Stade Louis II faithful, with Nabil Dirar entering the action as his replacement."
86',action,Just under five minutes of normal time remaining and Nice have well and truly lost all of their battling mentality now. It will be interesting to see how Favre attempts to pick up his players after such a defeat as despite the loss they are still engulfed in the title race.
84',action,SAAAAAVE FROM SUBASIC! A sign of a great goalkeeper is their ability to burst into action even though they have not been tested at all previously in the game. The Croatian stopper does just this on this occasion as he gets down to his left to turn away a Plea header from 12 yards.
82',action,"Nice defeated Monaco 4-0 in the reverse fixture back in September, and by the looks of the proceedings so far the Monte Carlo outfit have had revenge on their minds during their performance tonight. They have outclassed their championship rivals by quite a distance."
80',assist,"Assist Thomas Lemar ; Lemar turns provider for Falcao this time, with the service again coming from the left."
80',goal,"Goal Radamel Falcao García Zárate ; GOOOOOOAAAAAAAALLL FOR MONACO! Game, set, match! Mendy is involved once again as he slides a reverse pass down the channel for the onrushing Lemar, who in turn picks out Falcao. The former Atletico Madrid man shows a superb bit of movement to lose his marker before squeezing a precision left-footed strike into the bottom right corner! Three-nil."
78',action,"Balotelli receives the ball inside the area but is unable to get the ball out of his feet in order to pull the trigger, which allows Jemerson to make the interception. Belhanda collects the loose ball and fires a strike at goal, but the Monaco right-back is there again to make the vital interception."
76',substitution,"; First change of the match from Jardim and it will see the opening goalscorer, Germain, make way for Joao Moutinho in what is a relatively pragmatc formation alteration from the Portuguese boss."
74',action,"Nice get the free-kick in a very useful position down the left wing around 30 yards out. Cyprien and Balotelli stand over it and it is eventually the Italian pulls rank to pull the trigger from the set-piece, but the resulting strike is slammed disappointingly into the wall."
72',action,"Eighteen minutes to go now and unless Nice can improve massively to catalyse an unlikely comeback, Monaco are going to go three points clear at the top of the Ligue 1 table. The visitors tonight will also be keeping an eye on the PSG match later tonight as Emery's charges can join them on 49 points if they can defeat Dijon."
70',action,"Nice almost score a goal of the highest quality as Belhanda and Plea exchange a duo of lovely one-twos on the edge of the box before the former eventually pulls the trigger. However, the volleyed attempt from the substitute goes high and wide over the bar, much to Favre's disappointment in the dugout."
68',action,"Nice's attacking players just haven't showed enough so far. They have the best defence in the league, but this afternoon you would be forgiven for thinking that Monaco hold this accolade as Gilk, Sidibe, and Subasic have barely put a foot wrong, whilst under little pressure though admittedly."
66',action,"It is great to see Falcao playing near to his best after two years in the wilderness with Manchester United and Chelsea. It was reported this January that the Colombian turned down a few lucrative offers to play in the Chinese Super League, and you can see why as he still has plenty to offer in Ligue 1. Only Cavani is ahead of him in the goalscoring stakes."
64',substitution,; First change of the match from Lucien Favre and it sees Younes Belhanda enter the action to replace Malang Sarr.
62',action,"Nice really need to sort themselves out here as Monaco currently look like they are going to score with each single venture forward. The visitors have defended well for the most part, but have been unable halt the outstanding runs of Mendy coming from left-back."
60',goal,Goal Radamel Falcao García Zárate ; GOOOOOAAAAAAAAALLLL FOR MONACO! Potentially a huge moment in the title race! Mendy is AGAIN involved positively for the Monte Carlo outfit as he breaks down the left on the overlap to receive a pass from Lemar following some great work by Bernardo Silva. The cross is drilled in and Falcao is there to send a predatory finish home from close range! Two-nil.
