,action,"Full-time at the Stadium of Light. Sunderland claim another MASSIVE three points at home as they eventually secure a narrow 2-1 win over current champions, Leicester. A Huth own-goal and a strike from Defoe gave the hosts the lead, while an Okazaki consolation made things dodgy for the Black Cats, but Moyes' men eventually held on for the win."
90'+4',action,"A mammoth goalmouth scramble ensues inside the Sunderland box as the home side eventually, somehow, survive despite numerous shots on goal. Simpson and Morgan both have cracks from inside the penalty area, with the second brilliantly saved by Pickford, and the third going for a goal-kick!!"
90'+2',action,"Sunderland are doing well to run down the clock at the moment, and this is partly due to Simpson who is still carrying that injury, meaning Leicester are effectively down to 10 men. Anichebe is attaching himself to the right-back, who isn't putting up much resistance."
90',action,A generous SIX minutes of injury tme have been allocated by the referee here which will certainly be a cause for optimism for Leicester who have one final ray of hope before the end of play. Can Sunderland hold on?
88',action,"It is the walking wounded out there now as Simpson has picked up an injury after taking a knock. There is a further problem now though as Ranieri has already made his three substitutions, which means the right-back will have to power through for another few minutes. Not ideal."
86',action,"Time is running out for Leicester to try and claim something, anything for this game. That injury to Watmore has put a dampner on proceedings towards the end of play, but the Foxes will still be hoping to spoil the party of Sunderland by claiming a late equaliser, even if the result comes second in importance to Watmore."
84',substitution,; Watmore won't be able to continue here and his replacement is Javier Manquillo. We really hope that injury isn't too serious for the young Englishman.
82',action,This does not look good for Watmore at the moment as he wend down on a heap on the pitch after that challenge from Fuchs. There wasn't anything particularly sinister involved in the altercation. but he young Sunderland man landed very awkwardly on his knee and then ankle. He receives treatment from the physios as we will have a break in play.
81',yellow-card,Yellow Card Christian Fuchs ; Fuchs is booked for a late challenge on Watmore.
80',assist,Assist Demarai Gray ; The substitutes combine for Leicester as Gray gains the assist.
80',goal,"Goal Shinji Okazaki ; GOOOOAAAAAAALLL FOR LEICESTER! A ray of hope for the Foxes! Gray opens up his stride down the left wing and takes on the full-back before smashing a cracking a superb cross to the front post, where Okazaki gets ahead of the defender to divert home with a delightful finish! Two-one - GAME ON."
78',yellow-card,Yellow Card Papiss Mison Djilobodji ; Yellow for Djilobodji.
