,action,"Thanks for joining our commentary as history has been made this afternoon in the FA Cup. Until next time, goodbye."
,action,A truly great effort here and the Imps can even dream of Wembley now after defeating the Clarets.
,action,Sean Raggett's goal decided the contest and truth be told it's no more than the Imps deserved as they dominated the second half. Burnley were extremely poor in this match and can have no complaints about being dispatched here by Danny Cowley's men.
,action,DRAMA! Lincoln create history by becoming the first non-league outfit in the post-war era to reach the last eight of the FA Cup.
,action,FULL-TIME: BURNLEY 0-1 LINCOLN CITY
90'+6',action,THAT'S IT!!!!! LINCOLN ARE THROUGH!!!!
90'+6',action,"BLOCK! Arfield goes for goal from 25 yards, but his effort is blocked on the edge of the box and once again Lincoln clear."
90'+5',action,Heaton turns under pressure as he is forced to gather the ball. Time is running out for the home side.
90'+5',action,The ball is cleared away and the visitors have respite for now.
90'+4',action,Waterfall sends the ball over the bar from the first corner. Heaton comes up as Burnley pile men forward in desperation.
90'+3',action,"CHANCE! Gray almost breaks Lincoln hearts as he breaks in behind the line, but Farman comes off his line and makes the block to send it behind for a corner."
90'+1',yellow-card,Yellow Card Ashley Barnes ; Yellow card Ashley Barnes
90'+1',substitution,; Rhead is replaced by McCombe.
90',action,There will be five minutes of added time.
89',assist,Assist Luke Waterfall ; Waterfall pulls off at the back post to head the ball back across the face of goal for Raggett to score.
89',goal,"Goal Sean Raggett ; GOAL!!!!!!!!!!! LINCOLN TAKE THE LEAD!!!!! RAGGETT SCORES!!! Drama at Turf Moor late in the game as the non-league outfit take the lead as Raggett powers his header through the arms of Heaton and into the net. There's a slight delay before the goal is given, but it did cross the line and we're on course for a massive upset here."
88',action,Role reversal as Lincoln win a corner late in the game and Waterfall is able to battle at the back post to win a second set-piece.
87',action,All hands on deck for the Imps at the back now. They're so close to taking this match back to Sincil Bank.
86',action,"CHANCE! Boyd sends Gray over the top and the striker breaks in, despite stumbling slightly. However, he takes the shot on without properly regaining his footing and strikes the ball over bar."
85',action,"OVER! Gray releases the run of Arfield on the right flank and the midfielder has space and time to fire an effort at goal. However, he loses his composure and fires his strike over the bar."
83',action,"CHANCE! Arfield whips the resulting corner into the box and Keane rises highest to head at goal, but he guides his header narrowly over the bar."
82',action,"Arfield slides the ball through to Boyd in the left inside channel, but Wood makes a great last-second intervention to poke the ball behind for a corner."
81',substitution,; Hawkridge makes way for Ward for the visitors.
80',action,"CHANCE! Darikwa does brilliantly down the flank to create a clear-cut opening for Gray, only for the striker to miss the ball. Boyd and Westwood both try to recover the situation, but Farman races off his to make the block before the Imps clear."
79',action,Power is on the spot for the Imps at the back as he robs Barnes in possession just when he was about to pull the trigger.
78',action,"Barton swings the ball into the box and Barnes gets a header to the free-kick, but Farman makes a comfortable save."
77',action,Raggett pulls the shirt of Gray as he attempts to turn the Lincoln defender. The Clarets have a free-kick in a threatening position.
