,action,"FULL-TIME! Everton ensure that they can keep themselves just about in the race for European football with a 3-1 win over Burnley, but Arsenal and Manchester United still have a few games in hand on the Toffees. Goals from Jagielka, Lukaku and a Ben Mee own goal were enough to help the hosts to their eighth straight win at Goodison Park, despite a Vokes penalty making things briefly complicated. That's all that we have time for, we hope to see you again next time."
90'+3',action,"Lukaku is given some service in the penalty area, but the can only swivel to see a shot blocked."
90'+2',action,"Koeman is now calmly sat on his bench, with Everton happy to see this game out in patient fashion. Lukaku holds the ball up well, before finding Schneiderlin in the centre of the park, but the Frenchman looks backwards. Job done, it's just a case of getting to the final whistle unscathed."
90'+1',action,There are three minutes of stoppage time.
90',substitution,"Substitution sub-out Ross Barkley sub-in Ademola Lookman . Barkley takes his leave, getting a standing ovation on his way off, with Lookman introduced."
88',action,"Off the line from Barkley! The Everton midfielder is there again for the home side, as a second looping header from Keane is denied. He has really dug in to contribute well defensively this afternoon."
86',substitution,Substitution sub-out Jeff Hendrick sub-in Ashley Westwood . Hendrick is replaced by Westwood for the last few minutes. The Republic of Ireland international was very quiet today in terms of creating anything offensively.
85',action,"Robles is very happy to take his time over a goal kick now, with Everton easing into cruise control. Barry's introduction has just meant that Burnley are happy to keep hold of the ball and not necessarily force the issue."
83',substitution,Substitution sub-out Ashley Barnes sub-in Daniel Agyei . Barnes is replaced by young Agyei for the dying minutes at Goodison Park.
83',action,"Less than 10 minutes remain for Burnley to try and turn this game around, but it doesn't look likely at all. Lukaku is picked out by a quick ball over the top, but the Belgian is caught offside yet again. The chances have dried up a little for Everton, but Koeman won't mind given his side's two-goal cushion."
81',action,"Gray causes some problems with his pace on the break, with Barry forced to cynically drag the Burnley striker to the ground. Brady whips in the free-kick from the right-hand side, but his delivery dips straight behind for a goal-kick. What a waste."
79',action,"Barton is felled by a terribly timed tackle by Valencia on the edge of the Everton penalty area, despite there not being any real contact at all. The English midfielder takes aim, but shoots straight into a ruck of bodies."
77',action,"Everton are in total control here, with Burnley having absolutely no answer to the continual pressure from the Toffees. More goals looks extremely likely, the floodgates could be open at Goodison Park before long."
76',substitution,"Substitution sub-out Kevin Mirallas sub-in Gareth Barry . Mirallas is replaced by Barry, as Koeman looks to solidify the centre of his midfield."
74',substitution,"Substitution sub-out Sam Vokes sub-in Andre Gray . Gray is introduced into the fray for Vokes, as Dyche freshens things up in attack. The Burnley substitute has just 15 minutes to try and help Burnley turn things around."
74',goal,"Goal Romelu Lukaku Menama. GOOOOOOOOOAL! LUKAKU MAKES IT 3-1! What a strike from the Belgium international, who turns smartly beyond Keane in the box and then holds his man off. He stabs the ball home with incredible force, Heaton didn't have a chance."
74',assist,"Assist Leighton Baines. Baines cuts a pass infield from the left-hand side, but Lukaku does all of the hard work to fashion a chance for himself."
72',yellow-card,"Yellow Card Ross Barkley. Barkley gets a yellow card for his celebrations, as he climbed into the foot of the stand behind Heaton's goal."
