,action,"Juventus take a massive step towards the semi-finals as Paulo Dybala takes centre-stage with a stunning first-half brace, before Giorgio Chiellini added another after the break as the Bianconeri put in a flawless display to convincingly dispose of Barcelona in Turin. That's all for our live coverage, thanks for following along. Goodbye!"
90'+4',action,FULL-TIME: JUVENTUS 3-0 BARCELONA.
90'+3',action,"Juventus kill all sorts of time high up the pitch, playing down the flank in the final third. Sporting scenes as Mandzukic goes down with a cramp, bringing play to a halt, and instead of getting upset with the striker, his countryman Rakitic comes over to help him stretch it out. You always like to see that."
90'+1',yellow-card,"Yellow Card Mario Lemina. Lemina is also booked, appropriately."
90'+1',yellow-card,"Yellow Card Samuel Umtiti. Lemina dominates Umtiti in a physical duel, but the Barca centre-half goes into the book for his role in the altercation."
90',action,The board goes up to indicate an additional four minutes of stoppage-time.
89',substitution,"Substitution sub-out Miralem Pjanić sub-in Andrea Barzagli . One more pair of legs on hand in defence here for Juventus in these final minutes as sub-in Andrea Barzagli is brought on to help see out the clean sheet, with Pjanic the one replaced."
87',action,"A free-kick for Barcelona straight in the centre of the pitch, about 25 yards from goal, is wasted into the wall. Suarez pounces to keep it alive and does well to ride out Chiellini's challenge to win a corner. Now or never for Barca if they are going to find this away goal."
85',action,"Barcelona are camped out in the attacking half again, but there's absolutely no way through for them. Juventus are disciplined and focused as ever in defence, determined to see this out. Everywhere Barcelona look to go with the ball, there's a black and white shirt lurking."
83',action,"Pressure on the Juventus goal is relieved again as the hosts get up the pitch and win a corner. Barcelona only partially clear, and Juve have a free-kick moments later. Precious time being run off the clock here, if nothing else."
81',substitution,"Substitution sub-out Paulo Bruno Dybala sub-in Tomás Eduardo Rincón Hernández . Tomas Rincon enters the fray as Juventus' second change of the night, with Dybala replaced."
78',action,"Juventus are starting to drop a bit deeper now as Barcelona throw everything but the kitchen sink forward in an attempt to find the away goal they so desperately crave. With all due respect to PSG, Juventus are an entirely different animal defensively, so turning this around at the Camp Nou will be a seemingly insurmountable task without an away goal - but never say never, right?"
76',action,STAT: Juventus have conceded fewer goals in the Champions League this season than any of the other seven sides still left in the competition (2 in 8 games). Both of those goals came from set-piece.
74',yellow-card,"Yellow Card Sami Khedira. Khedira and the rest of his team think Juventus have a free-kick just outside the area, in the centre of the pitch, but their joy is short-lived as the midfielder is booked for simulation!"
