,action,"FULL-TIME! Spurs scrape a 2-1 win over Burnley at White Hart Lane, with goals from Alli and Rose doing just enough for the hosts. The away side opened the scoring through Barnes, but Dyche's men were competitive enough to remain in the equation until the very end. A much-needed victory for Pochettino, with his home form proving to be key so far this campaign. That's all that we have time for, we hope to see you again next time."
90'+4',action,"Vokes is picked out by a curling cross from the right-hand side by Gray, but the Welsh substitute can't quite stretch to get on the end of it! Lloris is very grateful to see the delivery sail straight into his gloves untouched."
90'+2',yellow-card,"Yellow Card Matthew Lowton. Gray is able to race forward on the break, but Wanyama hooks a clearance away from the Burnley striker. Spurs respond with a counter of their own, with Lowton booked for ending it with a cynical challenge on Kane."
90',action,There are four minutes of stoppage time in the second half at White Hart Lane.
89',action,"Sissoko drifts in from the left, but Lowton makes a timely tackle, with Spurs kicking on and deciding that the best form of defence is to push on and attack. Davies then shoots from range once again, but the substitute is denied by a block."
88',action,"Kane sparks a break for Spurs, with Sissoko racing down the right on the break. He opens play out to Winks, who picks out Davies, before a lay-off into Son results in the South Korean substitute rattling a close-range shot off Lowton and behind for a corner. The resulting set-piece is curled in by Eriksen, but Lowton clears."
86',action,"Keane makes a good tackle to kick-start a break for the away side, with Burnley still searching for a way back into this game. A Kightly cross is deflected by Winks, before a delivery from Arfield is charged down too. Dyche's men need to put some quality service into the penalty area. Gray shoots over from a tight angle."
84',substitution,"Substitution sub-out Dean Marney sub-in Steven Defour . Defour is given the last five minutes or so to impress for the away side, with Marney taking his leave."
83',substitution,"Substitution sub-out George Boyd sub-in Michael Kightly . Kightly is introduced for the dying moments, with Boyd taking his leave after an all-action defensive performance on the right-hand side of the Burnley midfield."
83',action,"Over the top from Davies! The ex-Swansea left-back is given the chance to drive infield from the left, but can then only smash a poor effort straight out of play for a goal-kick. No quite what Rose managed to do before going off with an injury concern."
82',action,"We're into the last 10 minutes, with Spurs trying to hold onto the ball and ease their way towards the finish line. Eriksen tries to pick out Son with a neat throughball, but Mee makes a timely interception. Pochettino's men have seen much more of the ball in this second half."
80',substitution,"Substitution sub-out Ashley Barnes sub-in Sam Vokes . Barnes is replaced by Vokes late on, with the Wales international providing more of a target for Burnley to hit with long passes upfield."
80',action,"Kane shoots wide! The England international is picked out at the back post by Walker, but fires a left-footed effort terribly beyond the near post under pressure from Lowton. Spurs could do with another goal just to put this home win beyond doubt."
79',action,"Sissoko has been a real threat down the right-hand side, with the Frenchman doing well since coming into the fray. Burnley look for Gray over the top, as Barnes pings forward a hopeful pass, but Lloris is the sole benefactor. Son is then the target of a similar foray forward from Spurs, with Heaton able to gobble up the scraps."
77',substitution,"Substitution sub-out Danny Rose sub-in Ben Davies . Davies comes in at left-back for the potential match-winner, as Rose is taken off as a precaution."
76',action,"Barnes goes down in the penalty area, claiming for a penalty, but the referee isn't interested at all. If the Burnley striker hadn't been so physical all afternoon, maybe the official would have more sympathy. Spurs race down the other end, but Son shoots wide of the far post after a good pass from Sissoko."
75',action,"Lloris fails to deal with a looping free-kick delivery into the box, punching just half-clear. The rebound is sent looping towards the Spurs net, but the ball thuds down onto the roof of the net. Nervy moments at White Hart Lane."
73',substitution,"Substitution sub-out Bamidele Alli sub-in Heung-Min Son . Alli is replaced by Son for the last 20 minutes, as the Englishman has faded slightly in recent minutes."
71',assist,"Assist Moussa Sissoko. Sissoko makes a telling contribution after coming into the game, teeing up Rose to find the back of the net."
71',goal,"Goal Danny Rose. GOOOOOOOOOAL! ROSE MAKES IT 2-1! This time, the potential provider turns goalscorer. Sissoko is the man to tee up the England international, who rattles home a great finish. Heaton can't get near it this time, and Spurs late with around 20 minutes left on the clock."
70',yellow-card,Yellow Card Moussa Sissoko. Sissoko gets a booking for catching his man late in the middle of the park.
68',action,"Dyche is out on the edge of his technical area barking out instructions, with Burnley just committing men forward when they know that they can overload certain areas of the field. Sissoko has tried to get involved since coming into the fray, but Rose and Walker continue to be the hosts' key men."
66',action,"Kane has been quiet in the second half, with Spurs unable to build up any kind of momentum. Lloris hasn't had much to do either, since the restart, but things are getting a little bit nervy for the home fans. Barnes and Gray combine on the counter for the away side, but Dier charges down a cross from the latter brilliantly."
64',action,"Eriksen cuts infield from the left onto his right foot, forcing Heaton into a brilliant save low down to his left-hand side! The Danish midfielder took aim with a thumping effort, but the England international goalkeeper gets a very strong wrist behind the ball. Mee reacts first to clear Burnley's lines."
63',substitution,"Substitution sub-out Moussa Sidi Yaya Dembélé sub-in Moussa Sissoko . Sissoko is introduced for the final half an hour, as Dembele is replaced. That might be precautionary, given that the Belgium international only just returned from injury."
62',action,"Ward bends in a delivery from the left, but a looping header from Barnes is gobbled up by Lloris ahead of Gray and Marney. Moments later, Alli takes aim from range to try and test Heaton, but a curling right-footed effort sails just beyond the top-right corner. Whiskers away from making it 2-1 to Spurs."
60',action,"Dier whips in a cross from deep on the right-hand side, but Keane rises well to head clear at the near post, with Burnley forced to lump aimless clearances forward in an attempt to give their back four some respite. Lowton tries to deliver for the visitors, but Wanyama is present to head clear, as both teams continue to trade similar blows at White Hart Lane."
58',action,"Burnley are sitting very deep indeed, with Boyd and Arfield helping out defensively throughout. Gray and Barnes are looking a bit isolated up top, with any counter-attacks requiring Dyche's midfield options to really put the effort in to get up in support. Spurs are piling on the pressure."
56',action,"The first 10 minutes of this second half have seen both teams have their moments, as Spurs continue to sit in a precarious position. Pochettino's men are seeing more of the ball and creating more opportunities, but one error from the hosts will give Dyche's side a huge chance to take home at least a share of the spoils."
54',action,"Rose dips in a delivery from the left, but once again Heaton is off his line in a flash to gobble up the ball. Burnley race down the flank on the break, with Gray found in behind Dier, but the hosts' centre-back slides in to shepherd the ball back to his goalkeeper. Burnley claim for a penalty, but the referee isn't interested. Spurs counter, with Rose finding Eriksen in the area, but the Denmark international heads straight at the goalkeeper."
52',action,"Heaton does well to claim another good cross, with Rose and Walker marauding forward with regularity this afternoon. Burnley have been very much on the back foot since the restart, with Gray only getting a fleeting opportunity to threaten on the counter-attack. Dembele leads the charge for the hosts, but Keane steps out of the visiting defence to halt the Belgian's progress."
